Unnamed: 0,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2,0,6,4,10,16,12,15,6,11,1,28,7,17,22,2,0,22,20,26,6,3,19,6,25,25,0,13,10,20
3,0,28,29,29,19,26,8,2,18,14,4,19,10,24,3,14,24,9,27,5,3,27,9,5,27,7,15,9,17
4,0,14,9,22,15,19,16,18,12,13,4,10,26,20,28,5,20,9,18,10,25,18,19,6,25,8,24,10,4
5,0,7,21,25,16,13,16,11,10,4,9,21,6,9,10,6,8,28,27,2,2,9,14,11,17,17,14,6,10
6,0,18,21,21,5,12,10,0,21,10,23,10,23,9,10,13,8,28,27,14,8,4,12,18,20,24,12,7,11
7,0,27,28,28,15,12,7,4,16,17,7,10,12,29,28,17,21,12,16,23,22,18,6,16,24,8,21,24,18
10,0,24,27,26,18,8,28,29,0,18,8,12,23,5,28,5,27,27,27,10,4,9,24,16,12,22,1,22,2
11,0,0,0,27,0,2,22,9,17,16,10,1,14,4,23,10,19,7,2,20,16,6,2,7,27,16,21,3,15
12,0,23,5,14,12,10,2,20,24,25,26,10,6,4,27,13,1,28,25,7,19,4,5,14,26,24,14,11,13
13,0,7,16,21,15,28,5,2,23,2,13,2,20,3,22,16,11,23,26,10,7,2,16,18,15,24,19,8,9
14,0,0,0,28,0,3,19,9,15,17,11,1,14,24,0,26,3,23,27,0,5,27,27,25,27,12,21,4,11
15,0,9,5,14,19,14,26,1,26,9,10,13,29,28,3,5,26,6,27,2,3,26,6,16,12,3,10,0,20
18,0,13,15,22,17,17,19,26,3,2,28,1,17,27,28,28,1,9,17,7,23,27,27,20,0,15,0,26,8
19,0,5,12,17,17,16,13,14,9,3,10,19,7,14,21,7,2,19,26,12,3,14,13,13,17,15,0,27,1
20,0,17,21,22,5,17,13,0,18,8,22,12,23,5,29,4,21,29,29,21,11,8,17,17,21,23,11,24,5
21,0,6,5,10,14,9,8,0,20,27,6,0,16,25,28,0,22,23,26,10,3,16,5,21,23,18,0,26,3
22,0,14,21,25,19,19,16,19,4,8,9,15,7,26,3,9,23,10,27,14,2,18,0,25,28,3,12,1,12
23,0,2,5,6,6,18,20,20,5,14,22,19,3,26,27,3,26,7,16,23,0,23,23,18,7,3,14,3,14
26,0,5,5,9,13,0,16,13,22,29,0,19,0,22,26,13,11,26,27,6,1,13,6,26,26,19,3,23,1
27,0,21,14,22,18,19,23,25,1,16,10,5,3,10,28,0,22,19,18,14,21,14,15,21,20,12,21,9,11
28,0,6,5,13,13,13,29,28,2,11,1,27,7,25,21,10,26,5,22,0,0,27,9,23,21,1,11,25,9
29,0,8,8,18,17,17,5,10,28,8,4,22,9,26,28,3,20,3,26,16,1,18,25,10,8,0,23,6,4
30,0,10,21,23,5,22,11,1,18,6,18,17,29,13,28,12,20,26,26,7,4,11,18,18,17,20,8,2,7
31,0,5,6,14,15,17,14,13,1,6,4,24,7,21,24,12,25,21,27,0,9,19,13,14,21,10,3,24,5
34,0,8,6,9,8,0,10,10,22,25,13,8,24,13,10,14,9,27,26,9,3,5,4,24,24,23,8,13,7
35,0,4,5,13,12,17,15,16,5,3,18,10,3,19,28,4,20,23,26,5,10,14,26,5,2,16,2,22,5
36,0,13,24,23,17,4,15,7,17,9,17,15,0,9,28,18,25,24,26,7,3,12,24,16,13,15,26,24,0
37,0,13,9,12,8,0,14,1,27,27,14,5,22,0,29,26,21,26,26,2,7,2,0,15,27,21,15,7,12
38,0,8,19,21,19,17,7,4,12,7,8,16,6,14,24,13,28,22,25,5,7,15,25,11,10,13,5,13,7
39,0,21,19,21,11,0,15,2,25,25,11,0,10,4,22,12,19,18,6,14,14,5,6,0,28,20,18,5,13
42,0,4,5,12,19,14,24,27,1,1,18,9,9,25,28,4,20,21,26,1,3,16,25,3,6,26,0,27,4
